epoch,stage,G_Total,G_GAN,G_L1,G_Perceptual,G_Gradient,D_Total,D_Real,D_Fake,GP_Loss,D_Grad_Norm,D_Real_Mean,D_Fake_Mean,D_Real_Std,D_Fake_Std,Batch_Count
10,Stage1-Basic,9.016038958062516,0.6950911778084775,8.320947778985856,0.0,0.0,0.7414779869165826,0.0,0.0,0.004656647450633984,28.164061831781805,0.01446162791429781,0.014280113710481872,0.15744517735661345,0.156890518170722,188
11,Stage1-Basic,8.94564345288784,0.6950104880206128,8.250632950600158,0.0,0.0,0.7360979017425091,0.0,0.0,0.004128729638862151,25.545062640700042,0.04169494850546161,0.04154557224543904,0.15154916642511146,0.15112275091257502,188
12,Stage1-Basic,8.825063461953022,0.6950332848949635,8.13003015010915,0.0,0.0,0.7416592322765513,0.0,0.0,0.004696102500058762,25.31490918565863,0.04144287751207346,0.04119116804646725,0.14989572565289253,0.14933312066057894,188
13,Stage1-Basic,8.791585950141258,0.6947569349344741,8.096828998403346,0.0,0.0,0.7398623871676465,0.0,0.0,0.00452153631533989,25.221380805182434,0.05533721863212896,0.05526041469853768,0.1455782483074259,0.14495412014583323,188
14,Stage1-Basic,8.75436226357805,0.6946542297906064,8.059708029665845,0.0,0.0,0.7355853401600047,0.0,0.0,0.004099801802983572,23.89703228043877,0.04811461520024595,0.048050927176596,0.14463567781321546,0.14407870672801706,188
15,Stage1-Basic,8.671462578976408,0.6945989287280022,7.976863622665405,0.0,0.0,0.7279005985944829,0.0,0.0,0.0033347402606252333,22.44406812420598,0.03643755675565966,0.036441079317344395,0.1425476059159066,0.14202974871435065,188
16,Stage1-Basic,8.636832158616249,0.694569506226702,7.9422626672907075,0.0,0.0,0.7300663996250072,0.0,0.0,0.0035586787562738695,21.01180533332307,0.08103052254251027,0.08100673497872467,0.13914803320423086,0.13853189214429956,188
17,Stage1-Basic,8.542158456558877,0.6945896567182338,7.847568798572459,0.0,0.0,0.7332691569277581,0.0,0.0,0.0038925118560461883,23.404509223717785,0.07279990413325264,0.07260782477703501,0.13707884583384433,0.1365535922269238,188
18,Stage1-Basic,8.51181830751135,0.6944958776869672,7.817322431726659,0.0,0.0,0.7310231771874935,0.0,0.0,0.0036652034073376078,22.911306841665347,0.029979564484203868,0.029900938440287645,0.13755915567595908,0.13702008025126255,188
19,Stage1-Basic,8.4777241843812,0.6944754247335677,7.7832487415760125,0.0,0.0,0.7270265050390934,0.0,0.0,0.003273143664510497,21.54647077385772,0.018757148607425948,0.018610938929610864,0.13601123248326016,0.13545628272472543,188
20,Stage1-Basic,8.492109597997462,0.6943609074075171,7.797748656983071,0.0,0.0,0.7205809186747734,0.0,0.0,0.0026314018015251893,19.666323957471015,0.01582455469117044,0.01576540923548585,0.13407437324999494,0.13352654858472499,188
21,Stage1-Basic,8.38405432853293,0.6944703494614743,7.68958398889988,0.0,0.0,0.724156806760646,0.0,0.0,0.0029985749204841225,20.790687750303277,0.03198798463377665,0.03174082924453343,0.13303372485840576,0.1324795342268462,188
22,Stage1-Basic,8.35165347697887,0.6944094135406169,7.657244033001839,0.0,0.0,0.7201885980494479,0.0,0.0,0.0026031948289799286,18.52220470278613,0.01633880850908525,0.01615871790365534,0.13170893260456146,0.13119577671936217,188
